RAW NG Title,Print Label Title,MES Title,MES Code,TRAY,Group,AB Rule,;; Update : 2018.01.22 (Tray 0=R/J 1=Bin2)(AB Rule 0=R/J 1=AB)
ITO FORCE_SHRT_FORCE FAIL!!,ITO FORCE_SHRT_FORCE FAIL!!,TSP SELF FAIL,UST107,1,,1
ITO FORCE_SHRT_GND FAIL!!,ITO FORCE_SHRT_GND FAIL!!,TSP SELF FAIL,UST107,1,,1
ITO SENSE_OPEN FAIL!!,ITO SENSE_OPEN FAIL!!,TSP SELF FAIL,UST107,1,,1
ITO SENSE_SHRT_GND FAIL!!,ITO SENSE_SHRT_GND FAIL!!,TSP SELF FAIL,UST107,1,,1
ITO SENSE_SHRT_SENSE FAIL!!,ITO SENSE_SHRT_SENSE FAIL!!,TSP SELF FAIL,UST107,1,,1
TSP Ghost,TSP Ghost,TSP GHOST FAIL,UST109,1,,1
MELFAS_CFG WRITE ERROR,MELFAS_CFG WRITE ERROR,TSP COM CMD NG,UST115,1,,1
F/W WRITE ERROR,F/W WRITE ERROR,TSP COM CMD NG,UST115,1,,1
HSync FAIL 76,HSync FAIL 76,TSP COM CMD NG,UST115,1,,1
HSync FAIL 36,HSync FAIL 36,TSP COM CMD NG,UST115,1,,1
HSync FAIL 0,HSync FAIL 0,TSP COM CMD NG,UST115,1,,1
HSync FAIL,HSync FAIL,TSP COM CMD NG,UST115,1,,1
HSync FAIL 2,HSync FAIL 2,TSP COM CMD NG,UST115,1,,1
HSync FAIL 6,HSync FAIL 6,TSP COM CMD NG,UST115,1,,1
HSync FAIL 38,HSync FAIL 38,TSP COM CMD NG,UST115,1,,1
HSync FAIL 39,HSync FAIL 39,TSP COM CMD NG,UST115,1,,1
HSync FAIL 41,HSync FAIL 41,TSP COM CMD NG,UST115,1,,1
HSync FAIL 43,HSync FAIL 43,TSP COM CMD NG,UST115,1,,1
HSync FAIL 86,HSync FAIL 86,TSP COM CMD NG,UST115,1,,1
HSync FAIL 79,HSync FAIL 79,TSP COM CMD NG,UST115,1,,1
TPS IC,TPS IC,TSP COM CMD NG,UST115,1,,1
Cypress Suspend Scanning Fail!,Cypress Suspend Scanning Fail!,TSP COM CMD NG,UST115,1,,1
TSP Read ERROR!,TSP Read ERROR!,TSP COM CMD NG,UST115,1,,1
TSP Read Err!,TSP Read Err!,TSP COM CMD NG,UST115,1,,1
TSP_SHORT FAIL,TSP_SHORT FAIL,TSP COM CMD NG,UST115,1,,1
TSP_OPEN &SLOPE &SHORT FAIL,TSP_OPEN &SLOPE &SHORT FAIL,TSP SELF FAIL,UST107,1,,1
TSP_OPEN &SLOPE FAIL,TSP_OPEN &SLOPE FAIL,TSP SELF FAIL,UST107,1,,1
TSP_SLOPE &SHORT FAIL,TSP_SLOPE &SHORT FAIL,TSP SELF FAIL,UST107,1,,1
TSP_OPEN &SHORT FAIL,TSP_OPEN &SHORT FAIL,TSP SELF FAIL,UST107,1,,1
TSP_SLOPE FAIL,TSP_SLOPE FAIL,TSP SELF FAIL,UST107,1,,1
TSP SELF NG,TSP SELF NG,TSP SELF FAIL,UST107,1,,1
TSP_OPEN SLOPE FAIL,TSP_OPEN SLOPE FAIL,TSP SELF FAIL,UST107,1,,1
TSP HOVER FAIL ,TSP HOVER FAIL ,TSP HOVER FAIL,UST108,1,,1
TSP HOVER FAIL,TSP HOVER FAIL,TSP HOVER FAIL,UST108,1,,1
TSP Hover,TSP Hover,TSP HOVER FAIL,UST108,1,,1
TSP_HOVER,TSP_HOVER,TSP HOVER FAIL,UST108,1,,1
TSP GHOST FAIL ,TSP GHOST FAIL ,TSP GHOST FAIL,UST109,1,,1
TSP GHOST FAIL,TSP GHOST FAIL,TSP GHOST FAIL,UST109,1,,1
TSP GAP ,TSP GAP ,TSP CM GAP,UST92,1,,1
TSP CM GAP ,TSP CM GAP ,TSP CM GAP,UST92,1,,1
TSP CB GAP ,TSP CB GAP ,TSP CB GAP,UST101,1,,1
TSP CMA GAP ,TSP CMA GAP ,TSP CM GAP,UST92,1,,1
TSP SFR GAP ,TSP SFR GAP ,TSP CM GAP,UST92,1,,1
TSP SST GAP ,TSP SST GAP ,TSP CM GAP,UST92,1,,1
TSP GAP,TSP GAP,TSP CM GAP,UST92,1,,1
TSP GAP1,TSP GAP1,TSP CM GAP,UST92,1,,1
TSP GAP2,TSP GAP2,TSP CM GAP,UST92,1,,1
TSP GPA,TSP GPA,TSP CM GAP,UST92,1,,1
TSP GPB,TSP GPB,TSP CM GAP,UST92,1,,1
TSP CM,TSP CM,TSP CM GAP,UST92,1,,1
TSP RAT ERROR,TSP RAT ERROR,TSP CM GAP,UST92,1,,1
TSP CM GAP1 ,TSP CM GAP1 ,TSP CM GAP,UST92,1,,1
TSP JIT GAP1 ,TSP JIT GAP1 ,TSP CM GAP,UST92,1,,1
TSP NOH GAP1 ,TSP NOH GAP1 ,TSP CM GAP,UST92,1,,1
TSP NOL GAP1 ,TSP NOL GAP1 ,TSP CM GAP,UST92,1,,1
TSP SEN GAP1 ,TSP SEN GAP1 ,TSP CM GAP,UST92,1,,1
TSP CMS GAP1 ,TSP CMS GAP1 ,TSP CM GAP,UST92,1,,1
TSP CMR GAP1 ,TSP CMR GAP1 ,TSP CM GAP,UST92,1,,1
TSP CS GAP1 ,TSP CS GAP1 ,TSP CM GAP,UST92,1,,1
TSP CSR GAP1 ,TSP CSR GAP1 ,TSP CM GAP,UST92,1,,1
TSP CM GAP2 ,TSP CM GAP2 ,TSP CM GAP,UST92,1,,1
TSP JIT GAP2 ,TSP JIT GAP2 ,TSP CM GAP,UST92,1,,1
TSP NOH GAP2 ,TSP NOH GAP2 ,TSP CM GAP,UST92,1,,1
TSP NOL GAP2 ,TSP NOL GAP2 ,TSP CM GAP,UST92,1,,1
TSP SEN GAP2 ,TSP SEN GAP2 ,TSP CM GAP,UST92,1,,1
TSP CMS GAP2 ,TSP CMS GAP2 ,TSP CM GAP,UST92,1,,1
TSP CMR GAP2 ,TSP CMR GAP2 ,TSP CM GAP,UST92,1,,1
TSP CS GAP2 ,TSP CS GAP2 ,TSP CM GAP,UST92,1,,1
TSP CSR GAP2 ,TSP CSR GAP2 ,TSP CM GAP,UST92,1,,1
TSP CM GAP,TSP CM GAP,TSP CM GAP,UST92,1,,1
TSP CB GAP,TSP CB GAP,TSP CB GAP,UST101,1,,1
TSP CMA GAP,TSP CMA GAP,TSP CM GAP,UST92,1,,1
TSP SFR GAP,TSP SFR GAP,TSP CM GAP,UST92,1,,1
TSP SST GAP,TSP SST GAP,TSP CM GAP,UST92,1,,1
TSP CM JITTER ,TSP CM JITTER ,TSP CM JITTER,UST97,1,,1
TSP Delta,TSP Delta,TSP CM JITTER,UST97,1,,1
TSP Jitter,TSP Jitter,TSP CM JITTER,UST97,1,,1
TSP Del Limit Error,TSP Del Limit Error,TSP CM JITTER,UST97,1,,1
TSP DEL,TSP DEL,TSP CM JITTER,UST97,1,,1
TSP JITTER ERROR,TSP JITTER ERROR,TSP CM JITTER,UST97,1,,1
TSP CM JITTER,TSP CM JITTER,TSP CM JITTER,UST97,1,,1
TSP COM VERSION NGSION,TSP COM VERSION NGSION,TSP COM VERSION NG,UST111,1,,1
TSP COM VERSION NGSION ,TSP COM VERSION NGSION ,TSP COM VERSION NG,UST111,1,,1
TSP COM VERSION NGSION NG,TSP COM VERSION NGSION NG,TSP COM VERSION NG,UST111,1,,1
TSP COM VERSION NGSION NG ,TSP COM VERSION NGSION NG ,TSP COM VERSION NG,UST111,1,,1
TSP COM TIMEOUT ,TSP COM TIMEOUT ,TSP COM TIMEOUT,UST114,1,,1
TSP COM TIMEOUT,TSP COM TIMEOUT,TSP COM TIMEOUT,UST114,1,,1
TSP COM RESET NG ,TSP COM RESET NG ,TSP COM RESET NG,UST113,1,,1
TSP COM RESET NG,TSP COM RESET NG,TSP COM RESET NG,UST113,1,,1
TSP COM INT NG NG,TSP COM INT NG NG,TSP COM INT NG,UST112,1,,1
TSP COM INT NG NG ,TSP COM INT NG NG ,TSP COM INT NG,UST112,1,,1
TSP COM I2C FAIL ,TSP COM I2C FAIL ,TSP COM I2C FAIL,UST110,1,,1
TSP COM I2C FAIL,TSP COM I2C FAIL,TSP COM I2C FAIL,UST110,1,,1
TSP COM CMD ,TSP COM CMD ,TSP COM CMD NG,UST115,1,,1
TSP COM CMD,TSP COM CMD,TSP COM CMD NG,UST115,1,,1
T-CNT PIN,T-CNT PIN,TSP CNT PIN Fail,USF20,1,,1
TSP CM SET ,TSP CM SET ,TSP CM SET,UST96,1,,1
TSP CM SET,TSP CM SET,TSP CM SET,UST96,1,,1
TSP CM RAW OVER ,TSP CM RAW OVER ,TSP CM OVER,UST90,1,,1
TSP CM RAW OVER,TSP CM RAW OVER,TSP CM OVER,UST90,1,,1
TSP CM RAW BAND ,TSP CM RAW BAND ,TSP CM OVER,UST90,1,,1
TSP CM RAW BAND,TSP CM RAW BAND,TSP CM OVER,UST90,1,,1
TSP CM OVER,TSP CM OVER,TSP CM OVER,UST90,1,,1
TSP CM OPEN,TSP CM OPEN,TSP CM OPEN,UST89,1,,1
TSP CM CORNER ,TSP CM CORNER ,TSP CM CORNER,UST82,1,,1
TSP CM CORNER,TSP CM CORNER,TSP CM CORNER,UST82,1,,1
TSP CM BAND,TSP CM BAND,TSP CM BAND,UST91,1,,1
TSP CM ALL,TSP CM ALL,TSP CM ALL,UST94,1,,1
TSP CB Tx Min-Max,TSP CB Tx Min-Max,TSP CB Tx Min-Max,UST18,1,,1
TSP CB SET ,TSP CB SET ,TSP CB SET,UST105,1,,1
TSP CB SET,TSP CB SET,TSP CB SET,UST105,1,,1
TSP CB OVER ,TSP CB OVER ,TSP CB OVER,UST99,1,,1
TSP CB RAW OVER ,TSP CB RAW OVER ,TSP CB OVER,UST99,1,,1
TSP CB Rx Over,TSP CB Rx Over,TSP CB OVER,UST99,1,,1
TSP Over(CB Rx Over),TSP Over(CB Rx Over),TSP CB OVER,UST99,1,,1
TSP RXR OVER,TSP RXR OVER,TSP CB OVER,UST99,1,,1
TSP CB,TSP CB,TSP CB Over,UST05,1,,1
TSP IXR OVER,TSP IXR OVER,TSP CB OVER,UST99,1,,1
TSP Over(CB Tx Over),TSP Over(CB Tx Over),TSP CB OVER,UST99,1,,1
TSP TXR OVER,TSP TXR OVER,TSP CB OVER,UST99,1,,1
TSP IXT OVER,TSP IXT OVER,TSP CB OVER,UST99,1,,1
TSP WTR OVER,TSP WTR OVER,TSP CB OVER,UST99,1,,1
TSP WRR OVER,TSP WRR OVER,TSP CB OVER,UST99,1,,1
TSP WIXT OVER,TSP WIXT OVER,TSP CB OVER,UST99,1,,1
TSP JIT OVER ,TSP JIT OVER ,TSP CB JITTER,UST106,1,,1
TSP NOH OVER ,TSP NOH OVER ,TSP CB OVER,UST99,1,,1
TSP NOL OVER ,TSP NOL OVER ,TSP CB OVER,UST99,1,,1
TSP SEN OVER ,TSP SEN OVER ,TSP CB OVER,UST99,1,,1
TSP CS OVER ,TSP CS OVER ,TSP CB OVER,UST99,1,,1
TSP CSR OVER ,TSP CSR OVER ,TSP CB OVER,UST99,1,,1
TSP CB OVER,TSP CB OVER,TSP CB OVER,UST99,1,,1
TSP CB RAW OVER,TSP CB RAW OVER,TSP CB OVER,UST99,1,,1
TSP CB OPEN ,TSP CB OPEN ,TSP CB OPEN,UST98,1,,1
TSP CS RAW OPEN ,TSP CS RAW OPEN ,TSP CB OPEN,UST98,1,,1
TSP CS AMBIENT OPEN ,TSP CS AMBIENT OPEN ,TSP CB OPEN,UST98,1,,1
TSP CB Rx Open,TSP CB Rx Open,TSP CB OPEN,UST98,1,,1
TSP Open(CB Rx Open),TSP Open(CB Rx Open),TSP CB OPEN,UST98,1,,1
TSP CB(RX,TSP CB(RX,TSP CB OPEN,UST98,1,,1
TSP RXR OPEN,TSP RXR OPEN,TSP CB OPEN,UST98,1,,1
TSP IXR OPEN,TSP IXR OPEN,TSP CB OPEN,UST98,1,,1
TSP Open(CB Tx Open),TSP Open(CB Tx Open),TSP CB OPEN,UST98,1,,1
TSP CB(TX,TSP CB(TX,TSP CB OPEN,UST98,1,,1
TSP TXR OPEN,TSP TXR OPEN,TSP CB OPEN,UST98,1,,1
TSP IXT OPEN,TSP IXT OPEN,TSP CB OPEN,UST98,1,,1
TSP CB OPEN,TSP CB OPEN,TSP CB OPEN,UST98,1,,1
TSP CS RAW OPEN,TSP CS RAW OPEN,TSP CB OPEN,UST98,1,,1
TSP CS AMBIENT OPEN,TSP CS AMBIENT OPEN,TSP CB OPEN,UST98,1,,1
TSP CB Rx Min-Max,TSP CB Rx Min-Max,TSP CB M-M,UST102,1,,1
TSP M-M(CB Rx Max-Min),TSP M-M(CB Rx Max-Min),TSP CB M-M,UST102,1,,1
TSP CB Rx Max-Min,TSP CB Rx Max-Min,TSP CB M-M,UST102,1,,1
TSP M-M(CB Tx Max-Min),TSP M-M(CB Tx Max-Min),TSP CB M-M,UST102,1,,1
TSP CB Tx Max-Min,TSP CB Tx Max-Min,TSP CB M-M,UST102,1,,1
TSP WTR OPEN,TSP WTR OPEN,TSP CB OPEN,UST98,1,,1
TSP WRR OPEN,TSP WRR OPEN,TSP CB OPEN,UST98,1,,1
TSP WIXT OPEN,TSP WIXT OPEN,TSP CB OPEN,UST98,1,,1
TSP CX2 M/M,TSP CX2 M/M,TSP CB M-M,UST102,1,,1
TSP JIT M/M ,TSP JIT M/M ,TSP CM JITTER,UST97,1,,1
TSP NOH M/M ,TSP NOH M/M ,TSP CM M-M,UST93,1,,1
TSP NOL M/M ,TSP NOL M/M ,TSP CM M-M,UST93,1,,1
TSP SEN M/M ,TSP SEN M/M ,TSP CM M-M,UST93,1,,1
TSP CMS M/M ,TSP CMS M/M ,TSP CM M-M,UST93,1,,1
